,,,,,,,,
,,,,,PGD Evaluations,,,
,,,,,AE,UM,Ensemble,PGD-ADT
,,,,,PGD_eps_0.03,0.04137235,0.00201816,0.00605449
,,,,,PGD_eps_0.06,0.20282543,0.00302725,0.01210898
,,,,,PGD_eps_0.12,0.84661958,0.01009082,0.02926337
,,,,,PGD_eps_0.24,0.99091826,0.03632694,0.10191726
,,,,,PGD_eps_0.48,0.99091826,0.29868819,0.64883956
,,,,,,,,
,,,,,FGSM Evaluations,,,
,,,,,Adersarial Example,UM,Ensemble,PGD-ADT
,,,,,FGSM_eps_0.03,0.02421796,0.00201816,0.00605449
,,,,,FGSM_eps_0.06,0.09788093,0.00201816,0.0110999
,,,,,FGSM_eps_0.12,0.35822402,0.00605449,0.02522704
,,,,,FGSM_eps_0.24,0.81533804,0.03733602,0.10292634
,,,,,FGSM_eps_0.48,0.91321897,0.73360242,0.86074672
,,,,,,,,
,,,,,BIM Evaluations 50 iterations,,,
,,,,,AE,UM,Ensemble,PGD-ADT
,,,,,BIM_eps_0.03,0.05247225,0.00201816,0.00605449
,,,,,BIM_eps_0.06,0.30575177,0.00302725,0.01311806
,,,,,BIM_eps_0.12,0.98486377,0.01009082,0.02825429
,,,,,BIM_eps_0.24,0.99091826,0.07568113,0.1654894
,,,,,BIM_eps_0.48,0.99091826,0.65489405,0.95358224
,,,,,,,,
,,,,,BIM Evaluations 100 Iterations,,,
,,,,,AE,UM,Ensemble,PGD-ADT
,,,,,BIM_eps_0.03,0.05348133,0.00201816,0.00605449
,,,,,BIM_eps_0.06,0.3148335,0.00302725,0.013118063
,,,,,BIM_eps_0.12,0.98789102,0.01009082,0.02926337
,,,,,BIM_eps_0.24,0.99091826,0.08072654,0.166498486
,,,,,BIM_eps_0.48,0.99091826,0.65993946,0.956609485
,,,,,,,,
,,,,,,,,
,,,,,Error given when crafting adversarial examples,,,
,,,,,Attack,Eplison,Max_iterations,Error
,,,,,BIM,0.03,50,0.063
,,,,,BIM,0.06,50,0.315
,,,,,BIM,0.12,50,0.994
,,,,,BIM,0.24,50,1
,,,,,BIM,0.48,50,1
,,,,,BIM,0.03,100,0.064
,,,,,BIM,0.06,100,0.324
,,,,,BIM,0.12,100,0.997
,,,,,BIM,0.24,100,1
,,,,,BIM,0.48,100,1
,,,,,FGSM,0.03,,0.035
,,,,,FGSM,0.06,,0.108
,,,,,FGSM,0.12,,0.368
,,,,,FGSM,0.24,,0.824
,,,,,FGSM,0.48,,0.921
,,,,,PGD,0.03,,0.052
,,,,,PGD,0.06,,0.213
,,,,,PGD,0.12,,0.855
,,,,,PGD,0.24,,1
,,,,,PGD,0.48,,1
