,,,,,,,
,Predicted Error,,,,,,
,Attack,Eplison,Error,,,,
,FGSM,0.03,0.008,,,,
,FGSM,0.06,0.011,,,,
,FGSM,0.12,0.015,,,,
,FGSM,0.24,0.036,,,,
,FGSM,0.48,0.655,,,,
,PGD,0.03,0.007,,,,
,PGD,0.06,0.012,,,,
,PGD,0.12,0.021,,,,
,PGD,0.24,0.087,,,,
,PGD,0.48,0.492,,,,
,BIM,0.03,0.009,,,,
,BIM,0.06,0.13,,,,
,BIM,0.12,0.039,,,,
,BIM,0.24,0.32,,,,
,BIM,0.48,0.95,,,,
,,,,,,,
,PGD Evaluations,,,,,,
,AE,UM,Ensemble,PGD-ADT,,,
,PGD_eps_0.03,0,0.002018163471,0.006054490414,,,
,PGD_eps_0.06,0.005045408678,0.005045408678,0.007063572149,,,
,PGD_eps_0.12,0.02522704339,0.01311806256,0.0141271443,,,
,PGD_eps_0.24,0.1362260343,0.07568113017,0.03834510595,,,
,PGD_eps_0.48,0.7265388496,0.492431887,0.2906155399,,,
,,,,,,,
,FGSM Evaluations,,,,,,
,Adersarial Example,UM,Ensemble,PGD-ADT,,,
,FGSM_eps_0.03,0,0.002018163471,0.006054490414,,,
,FGSM_eps_0.06,0.006054490414,0.004036326942,0.007063572149,,,
,FGSM_eps_0.12,0.01715438951,0.008072653885,0.01311806256,,,
,FGSM_eps_0.24,0.137235116,0.0282542886,0.03632694248,,,
,FGSM_eps_0.48,0.8859737639,0.6498486377,0.7204843592,,,
,,,,,,,
,BIM Evaluations 50 iterations,,,,,,
,AE,UM,Ensemble,PGD-ADT,,,
,BIM_eps_0.03,0.002018163471,0.003027245207,0.006054490414,,,
,BIM_eps_0.06,0.007063572149,0.004036326942,0.007063572149,,,
,BIM_eps_0.12,0.0454086781,0.0282542886,0.01917255298,,,
,BIM_eps_0.24,0.4106962664,0.3138244198,0.08274470232,,,
,BIM_eps_0.48,0.9566094854,0.9434914228,0.8032290616,,,
,,,,,,,
,EOT Evaulations,,,,,,
,AE,# Subsample,Transformation,Eps,UM Error,Ensemble Error,PGD-ADT Error
,PGD,50,translation,0.5,0.8,0.2,0.2
,PGD,100,translation,0.5,0.6,0.3,0.4
,PGD,200,translation,0.5,0.8,0.5,0.3
,FGSM,50,translation,0.5,0.9,0.9,0.8
,FGSM,100,translation,0.5,0.9,0.9,0.8
,FGSM,200,translation,0.5,0.9,0.8,0.8
,FGSM,50,translation,0.35,0.8,0.1,0.2
,FGSM,100,translation,0.35,0.6,0.3,0.4
,FGSM,200,translation,0.35,0.8,0.4,0.3
